team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
54,69,54,20,0,0,8,31,11,9,2,6,2,2,6.625,3.95,1.42
2,114,114,21,1,1,16,13,4,12,5,4,3,2,2.5362,3.0454,2.6865
151,179,179,22,0,0,11,15,17,13,5,3,3,0,3.8571,3.3143,1.8786
165,189,189,0,5,1,13,19,10,16,5,4,3,4,1.4161,4.2582,6.8336
54,72,54,22,0,0,15,6,9,8,2,6,5,3,2.1104,3.2871,3.2736
153,187,153,24,11,6,19,10,9,13,3,2,3,6,2.2123,2.9054,3.2877
97,101,97,39,5,6,19,9,6,9,4,3,3,1,1.6432,3.4891,4.7732
54,128,128,22,-1,0,11,17,11,15,1,6,4,4,4.8732,3.6561,1.685
1,173,173,21,-3,1,12,16,7,15,2,6,3,1,10.2096,4.8796,1.3075
93,187,93,22,1,6,25,20,7,12,7,3,1,1,1.2115,5.6911,11.5233
32,142,32,22,0,0,13,22,7,14,4,3,3,3,2.6644,3.0541,2.7326
43,170,170,21,2,0,14,15,9,19,2,5,6,3,1.395,4.158,6.648
28,128,128,22,-1,2,10,24,10,12,1,5,3,3,14.353,6.6193,1.1685
106,156,106,21,-2,0,13,13,3,6,4,3,3,5,6.0582,3.6264,1.49
94,159,94,1,1,0,15,16,8,18,1,4,4,2,1.3911,4.1037,7.0574
47,156,47,22,-1,1,14,13,12,7,1,2,1,3,4.7348,3.4959,1.7383
7,146,7,22,3,1,22,20,10,12,8,5,0,3,2.3032,3.23,2.9882
80,184,80,21,-9,3,12,14,8,13,4,5,5,3,2.8564,3.1929,2.3686
102,104,104,21,-1,0,17,19,14,7,2,3,2,3,11.5893,5.6214,1.1807
154,172,172,22,0,1,17,13,5,9,3,7,1,1,5.3717,3.6417,1.6196
10,156,10,22,1,0,8,10,14,14,6,4,2,2,2.1568,3.2393,3.2332
165,119,119,22,-3,2,13,23,6,9,5,6,2,0,4.795,3.25,1.65
90,128,90,22,4,8,12,13,12,10,2,6,6,3,2.5618,3.1054,2.7996
69,172,172,21,2,9,21,15,23,9,6,6,3,2,1.625,3.8519,5.4258
146,172,146,21,-3,6,15,14,18,10,4,6,4,2,1.5952,3.8519,5.9378
